,number,lumiblock,run,era
4742,12587231.0,8.0,297603.0,JetHT_Run2017B
4743,505347267.0,307.0,297656.0,JetHT_Run2017B
4744,521351159.0,317.0,297656.0,JetHT_Run2017B
4745,521122544.0,317.0,297656.0,JetHT_Run2017B
4746,64678170.0,45.0,299064.0,JetHT_Run2017B
4747,113638197.0,75.0,299065.0,JetHT_Run2017B
4748,233465559.0,152.0,299065.0,JetHT_Run2017B
4749,257736813.0,168.0,299065.0,JetHT_Run2017B
4750,267645112.0,174.0,299065.0,JetHT_Run2017B
4751,26327994.0,48.0,297620.0,JetHT_Run2017B
4752,45798207.0,59.0,297620.0,JetHT_Run2017B
4753,61849654.0,69.0,297620.0,JetHT_Run2017B
4754,64680805.0,70.0,297620.0,JetHT_Run2017B
4755,73922886.0,75.0,297620.0,JetHT_Run2017B
4756,69262268.0,73.0,297620.0,JetHT_Run2017B
4757,77852130.0,77.0,297620.0,JetHT_Run2017B
4758,17156763.0,39.0,297620.0,JetHT_Run2017B
4759,43371530.0,58.0,297620.0,JetHT_Run2017B
4760,75930034.0,76.0,297620.0,JetHT_Run2017B
4761,137293486.0,112.0,297620.0,JetHT_Run2017B
4762,136760294.0,112.0,297620.0,JetHT_Run2017B
3833,519258250.0,574.0,302163.0,JetHT_Run2017D
3834,536153722.0,594.0,302163.0,JetHT_Run2017D
3835,538984875.0,597.0,302163.0,JetHT_Run2017D
3836,568380295.0,633.0,302163.0,JetHT_Run2017D
3837,570675109.0,636.0,302163.0,JetHT_Run2017D
3838,611979245.0,687.0,302163.0,JetHT_Run2017D
3839,613817090.0,689.0,302163.0,JetHT_Run2017D
3840,958172623.0,1188.0,302263.0,JetHT_Run2017D
3841,965834956.0,1202.0,302263.0,JetHT_Run2017D
3842,503385426.0,555.0,302163.0,JetHT_Run2017D
3843,507359306.0,560.0,302163.0,JetHT_Run2017D
3844,809355247.0,970.0,302263.0,JetHT_Run2017D
3845,809029681.0,970.0,302263.0,JetHT_Run2017D
3846,813209814.0,976.0,302263.0,JetHT_Run2017D
3847,817181159.0,981.0,302263.0,JetHT_Run2017D
3848,796307530.0,929.0,302163.0,JetHT_Run2017D
3849,796950801.0,930.0,302163.0,JetHT_Run2017D
3850,798492269.0,932.0,302163.0,JetHT_Run2017D
3851,799217179.0,933.0,302163.0,JetHT_Run2017D
3852,801426799.0,936.0,302163.0,JetHT_Run2017D
3853,821147676.0,965.0,302163.0,JetHT_Run2017D
3854,823524725.0,969.0,302163.0,JetHT_Run2017D
3855,824442503.0,970.0,302163.0,JetHT_Run2017D
3856,827373763.0,974.0,302163.0,JetHT_Run2017D
3857,827541056.0,974.0,302163.0,JetHT_Run2017D
3858,843445854.0,997.0,302163.0,JetHT_Run2017D
3859,864924920.0,1029.0,302163.0,JetHT_Run2017D
3860,866450998.0,1031.0,302163.0,JetHT_Run2017D
3861,768797204.0,891.0,302163.0,JetHT_Run2017D
3862,784661217.0,913.0,302163.0,JetHT_Run2017D
3863,787459571.0,917.0,302163.0,JetHT_Run2017D
3864,788721114.0,919.0,302163.0,JetHT_Run2017D
3865,793416554.0,925.0,302163.0,JetHT_Run2017D
3866,698094317.0,797.0,302163.0,JetHT_Run2017D
3867,719832922.0,825.0,302163.0,JetHT_Run2017D
3868,726300550.0,834.0,302163.0,JetHT_Run2017D
3869,726232330.0,834.0,302163.0,JetHT_Run2017D
3870,728087137.0,836.0,302163.0,JetHT_Run2017D
3871,740242332.0,853.0,302163.0,JetHT_Run2017D
3872,741460311.0,854.0,302163.0,JetHT_Run2017D
3873,742713046.0,856.0,302163.0,JetHT_Run2017D
3874,743532528.0,857.0,302163.0,JetHT_Run2017D
3875,970890204.0,1190.0,302163.0,JetHT_Run2017D
3876,974765783.0,1196.0,302163.0,JetHT_Run2017D
3877,978269182.0,1203.0,302163.0,JetHT_Run2017D
3878,979481291.0,1206.0,302163.0,JetHT_Run2017D
3879,979772143.0,1207.0,302163.0,JetHT_Run2017D
3880,383975894.0,442.0,302344.0,JetHT_Run2017D
3881,384916536.0,443.0,302344.0,JetHT_Run2017D
3882,387203073.0,446.0,302344.0,JetHT_Run2017D
3883,884414797.0,1057.0,302163.0,JetHT_Run2017D
3884,885119628.0,1058.0,302163.0,JetHT_Run2017D
3885,885900629.0,1059.0,302163.0,JetHT_Run2017D
3886,891826413.0,1068.0,302163.0,JetHT_Run2017D
3887,777607566.0,903.0,302163.0,JetHT_Run2017D
3888,788268450.0,918.0,302163.0,JetHT_Run2017D
3889,852740069.0,1011.0,302163.0,JetHT_Run2017D
3978,257592723.0,303.0,302494.0,JetHT_Run2017D
3979,258234124.0,304.0,302494.0,JetHT_Run2017D
3980,281020685.0,332.0,302494.0,JetHT_Run2017D
3981,282802710.0,334.0,302494.0,JetHT_Run2017D
3982,284696247.0,337.0,302494.0,JetHT_Run2017D
3983,285655606.0,338.0,302494.0,JetHT_Run2017D
3984,287752054.0,340.0,302494.0,JetHT_Run2017D
3985,297285758.0,352.0,302494.0,JetHT_Run2017D
3986,309773052.0,367.0,302494.0,JetHT_Run2017D
3987,310998433.0,369.0,302494.0,JetHT_Run2017D
3988,312549463.0,370.0,302494.0,JetHT_Run2017D
3989,324251029.0,385.0,302494.0,JetHT_Run2017D
3990,324330429.0,385.0,302494.0,JetHT_Run2017D
3991,353526758.0,421.0,302494.0,JetHT_Run2017D
3992,354109613.0,421.0,302494.0,JetHT_Run2017D
3993,356333849.0,424.0,302494.0,JetHT_Run2017D
3994,356098320.0,424.0,302494.0,JetHT_Run2017D
3995,242448338.0,285.0,302494.0,JetHT_Run2017D
3996,250206163.0,294.0,302494.0,JetHT_Run2017D
3997,215675752.0,253.0,302494.0,JetHT_Run2017D
3998,216710989.0,254.0,302494.0,JetHT_Run2017D
3999,218028648.0,256.0,302494.0,JetHT_Run2017D
4000,222519545.0,261.0,302494.0,JetHT_Run2017D
4001,228018444.0,267.0,302494.0,JetHT_Run2017D
4002,233855561.0,274.0,302494.0,JetHT_Run2017D
4003,234539970.0,275.0,302494.0,JetHT_Run2017D
4004,329387645.0,391.0,302494.0,JetHT_Run2017D
9921,203091035.0,145.0,304616.0,JetHT_Run2017E
9922,204118277.0,145.0,304616.0,JetHT_Run2017E
9923,203172969.0,145.0,304616.0,JetHT_Run2017E
9924,206607072.0,147.0,304616.0,JetHT_Run2017E
9925,210641374.0,149.0,304616.0,JetHT_Run2017E
9926,211178773.0,149.0,304616.0,JetHT_Run2017E
9927,213638650.0,150.0,304616.0,JetHT_Run2017E
9928,213218104.0,150.0,304616.0,JetHT_Run2017E
