,>=0.0,>=0.001,>=0.0010722672220103231,>=0.0011497569953977356,>=0.0012328467394420659,>=0.0013219411484660286,>=0.0014174741629268048,>=0.0015199110829529332,>=0.0016297508346206436,>=0.001747528400007683,>=0.001873817422860383,>=0.002009233002565048,>=0.0021544346900318843,>=0.0023101297000831605,>=0.0024770763559917113,>=0.0026560877829466868,>=0.002848035868435802,>=0.0030538555088334154,>=0.0032745491628777285,>=0.003511191734215131,>=0.0037649358067924675,>=0.004037017258596553,>=0.004328761281083057,>=0.004641588833612782,>=0.004977023564332114,>=0.005336699231206312,>=0.00572236765935022,>=0.006135907273413176,>=0.006579332246575682,>=0.007054802310718645,>=0.007564633275546291,>=0.008111308307896872,>=0.008697490026177835,>=0.0093260334688322,>=0.01,>=0.010722672220103232,>=0.011497569953977356,>=0.012328467394420659,>=0.013219411484660293,>=0.014174741629268055,>=0.01519911082952934,>=0.016297508346206444,>=0.01747528400007684,>=0.01873817422860384,>=0.02009233002565047,>=0.021544346900318846,>=0.023101297000831605,>=0.024770763559917114,>=0.026560877829466867,>=0.02848035868435802,>=0.030538555088334154,>=0.03274549162877728,>=0.03511191734215131,>=0.037649358067924674,>=0.04037017258596556,>=0.04328761281083059,>=0.046415888336127795,>=0.049770235643321115,>=0.0533669923120631,>=0.05722367659350217,>=0.06135907273413173,>=0.06579332246575682,>=0.07054802310718646,>=0.07564633275546291,>=0.08111308307896872,>=0.08697490026177834,>=0.093260334688322,>=0.1,>=0.10722672220103231,>=0.11497569953977356,>=0.12328467394420659,>=0.13219411484660287,>=0.14174741629268048,>=0.1519911082952933,>=0.16297508346206452,>=0.1747528400007685,>=0.1873817422860385,>=0.2009233002565048,>=0.21544346900318845,>=0.23101297000831605,>=0.24770763559917114,>=0.26560877829466867,>=0.2848035868435802,>=0.30538555088334157,>=0.32745491628777285,>=0.3511191734215131,>=0.37649358067924676,>=0.40370172585965536,>=0.4328761281083057,>=0.4641588833612782,>=0.49770235643321137,>=0.5336699231206312,>=0.572236765935022,>=0.6135907273413176,>=0.6579332246575682,>=0.7054802310718645,>=0.7564633275546291,>=0.8111308307896873,>=0.8697490026177834,>=0.9326033468832199,>=1.0
QCD,3.349373937707479,3.349373937707479,3.3493739377074796,3.349373937707479,3.349373937707479,3.349373937707479,3.3493739377074796,3.349373937707479,3.349373937707479,3.349373937707479,3.3493739377074796,3.349373937707479,3.349373937707479,3.349373937707479,3.3493739377074796,3.349373937707479,3.349373937707479,3.349373937707479,3.3493739377074796,3.349373937707479,3.349373937707479,3.349373937707479,0.3863395932044112,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.37390073644976207,0.04818929669847353,0.04818929669847353,0.04818929669847353,0.04818929669847353,0.04818929669847353,0.04818929669847353,0.04818929669847353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.3021729269875,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.17549847442069588,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.042139036466269875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttH,0.06468470897428387,0.06202240221716998,0.0607803041618543,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.059441752808275725,0.057684440525921796,0.0576844405259218,0.0576844405259218,0.056925204130579915,0.055393448787208366,0.05334885709049153,0.05334885709049153,0.05334885709049153,0.052124042066310425,0.05096807481931863,0.05096807481931863,0.05096807481931863,0.049806030375355886,0.049806030375355886,0.04847963680809876,0.04847963680809876,0.04847963680809876,0.044881785816488454,0.04371547494843236,0.04371547494843236,0.04239012638040007,0.04121196166911297,0.04083753223848345,0.04083753223848345,0.03943193256658922,0.03729177623763388,0.03628039046736026,0.03628039046736026,0.03363949422416696,0.03322391127870407,0.03200467111876103,0.027329276043332677,0.027329276043332677,0.027329276043332677,0.027329276043332674,0.025984111432830064,0.025984111432830064,0.025984111432830064,0.025984111432830064,0.025984111432830064,0.023762303607943267,0.023762303607943267,0.02008726108468048,0.018788498874837016,0.016957257065658135,0.01572504782620033,0.013266703728161054,0.013266703728161054,0.013266703728161054,0.013266703728161054,0.012136382154352015,0.012136382154352015,0.012136382154352015,0.012136382154352015,0.011042532998679602,0.011042532998679602,0.009858206522707615,0.009213285347789837,0.00792654651615081,0.007222811942660465,0.006051179043615918,0.004543699162727997,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0025193188485224303,0.0011045925867681982,0.0011045925867681982,0.0011045925867681982,0.0011045925867681982,0.0011045925867681982,0.0011045925867681982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
singlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wjets,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.10225291021581674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zjets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VV,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.03241507741952028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWKZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWKW,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.1161197469744442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ggF,0.3711581551418003,0.3251747407553037,0.3251747407553038,0.2847887203964044,0.28478872039640446,0.2847887203964044,0.263374065354833,0.263374065354833,0.24301860416492183,0.24301860416492183,0.19333575576278772,0.19333575576278772,0.19333575576278772,0.19333575576278772,0.1722744013112017,0.1722744013112017,0.1722744013112017,0.1722744013112017,0.1722744013112017,0.1722744013112017,0.14586017326521028,0.14586017326521028,0.14586017326521028,0.1276053567969418,0.1276053567969418,0.1276053567969418,0.1276053567969418,0.1276053567969418,0.09946157730408926,0.09946157730408926,0.09946157730408926,0.09946157730408926,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.08713140615578144,0.04268529577790349,0.024153232957199757,0.024153232957199757,0.024153232957199757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
